browser,user_id,t_timestamp,device,state,city,country,category,product_id,product_name,quantity,unit_price,line_revenue
Edge,7914c120,2026-01-10T19:08:35.221009Z,mobile,VT,Andersonfort,MR,books,PROD_1050,Worker Books,2,496.2,992.40
Edge,7914c120,2026-01-10T19:08:35.221009Z,mobile,VT,Andersonfort,MR,sports,PROD_1082,Other Sports,3,246.07,738.21
Edge,7914c120,2026-01-10T19:08:35.221009Z,mobile,VT,Andersonfort,MR,toys,PROD_1197,Whose Toys,1,459.64,459.64
Edge,7914c120,2026-01-10T19:08:35.221009Z,mobile,VT,Andersonfort,MR,sports,PROD_1017,Coach Sports,2,471.18,942.36
Edge,080aadfb,2026-01-10T19:08:35.381939Z,tablet,NY,Hansonmouth,TG,beauty,PROD_1031,Lay Beauty,4,234.05,936.20
Edge,080aadfb,2026-01-10T19:08:35.381939Z,tablet,NY,Hansonmouth,TG,clothing,PROD_1062,Scientist Clothing,1,470.12,470.12
Edge,080aadfb,2026-01-10T19:08:35.381939Z,tablet,NY,Hansonmouth,TG,electronics,PROD_1143,Performance Electronics,5,442.38,2211.90
Safari,bdd640fb,2026-01-10T19:08:35.590074Z,mobile,GA,West Shane,KI,sports,PROD_1170,Head Sports,1,371.99,371.99
Safari,bdd640fb,2026-01-10T19:08:35.590074Z,mobile,GA,West Shane,KI,home,PROD_1060,Feel Home,4,176.15,704.60
Edge,aefcfad8,2026-01-10T19:08:35.720512Z,tablet,NY,Alvarezburgh,MX,beauty,PROD_1050,Defense Beauty,3,91.15,273.45
Edge,aefcfad8,2026-01-10T19:08:35.720512Z,tablet,NY,Alvarezburgh,MX,sports,PROD_1059,Finally Sports,4,430.31,1721.24
Edge,aefcfad8,2026-01-10T19:08:35.720512Z,tablet,NY,Alvarezburgh,MX,beauty,PROD_1023,Recently Beauty,2,182.53,365.06
Safari,885f6e66,2026-01-10T19:08:35.789485Z,mobile,SD,Loritown,AU,sports,PROD_1054,Spring Sports,1,152.35,152.35
Safari,885f6e66,2026-01-10T19:08:35.789485Z,mobile,SD,Loritown,AU,books,PROD_1188,Surface Books,2,68.58,137.16
Safari,885f6e66,2026-01-10T19:08:35.789485Z,mobile,SD,Loritown,AU,sports,PROD_1181,Form Sports,3,240.52,721.56
Safari,885f6e66,2026-01-10T19:08:35.789485Z,mobile,SD,Loritown,AU,food,PROD_1064,Girl Food,4,330.33,1321.32
Safari,885f6e66,2026-01-10T19:08:35.789485Z,mobile,SD,Loritown,AU,books,PROD_1164,There Books,3,327.25,981.75
Safari,5715bd6f,2026-01-10T19:08:36.705921Z,mobile,MS,Devonbury,SY,clothing,PROD_1152,Whom Clothing,5,220.16,1100.80
Edge,01d74256,2026-01-10T19:08:38.017934Z,mobile,NY,Jamesport,GR,home,PROD_1009,Create Home,3,157.46,472.38
Edge,01d74256,2026-01-10T19:08:38.017934Z,mobile,NY,Jamesport,GR,clothing,PROD_1154,Because Clothing,1,223.88,223.88
Chrome,f143262f,2026-01-10T19:08:38.369574Z,mobile,WA,Colebury,QA,food,PROD_1074,Record Food,5,156.64,783.20
Chrome,f143262f,2026-01-10T19:08:38.369574Z,mobile,WA,Colebury,QA,clothing,PROD_1147,May Clothing,2,101.81,203.62
Chrome,f143262f,2026-01-10T19:08:38.369574Z,mobile,WA,Colebury,QA,clothing,PROD_1177,Mean Clothing,5,383.64,1918.20
Chrome,f143262f,2026-01-10T19:08:38.369574Z,mobile,WA,Colebury,QA,toys,PROD_1153,Measure Toys,1,496.01,496.01
