browser,user_id,t_timestamp,device,state,city,country,category,product_id,product_name,quantity,unit_price,line_revenue
Chrome,5715bd6f,2026-01-11T15:53:46.325286Z,tablet,ND,Karenchester,LK,home,PROD_1176,Face Home,4,271.04,1084.16
Safari,885f6e66,2026-01-11T15:53:48.911702Z,mobile,ME,Meltonfort,VE,home,PROD_1014,Environmental Home,2,487.11,974.22
Safari,885f6e66,2026-01-11T15:53:48.911702Z,mobile,ME,Meltonfort,VE,beauty,PROD_1172,Pay Beauty,4,241.96,967.84
Safari,885f6e66,2026-01-11T15:53:48.911702Z,mobile,ME,Meltonfort,VE,sports,PROD_1019,Beat Sports,1,291.02,291.02
Safari,ff50bde4,2026-01-11T15:53:49.001683Z,mobile,NH,South Kennethtown,GW,home,PROD_1058,Become Home,2,153.55,307.10
Safari,ff50bde4,2026-01-11T15:53:49.001683Z,mobile,NH,South Kennethtown,GW,clothing,PROD_1061,Although Clothing,3,97.31,291.93
Safari,ff50bde4,2026-01-11T15:53:49.001683Z,mobile,NH,South Kennethtown,GW,sports,PROD_1012,Note Sports,4,22.38,89.52
Safari,ff50bde4,2026-01-11T15:53:49.001683Z,mobile,NH,South Kennethtown,GW,sports,PROD_1138,Good Sports,4,96.04,384.16
Safari,ff50bde4,2026-01-11T15:53:49.001683Z,mobile,NH,South Kennethtown,GW,beauty,PROD_1002,In Beauty,4,180.86,723.44
Edge,aefcfad8,2026-01-11T15:53:49.146103Z,tablet,NM,Port Joshuahaven,TG,beauty,PROD_1186,Impact Beauty,4,453.94,1815.76
Edge,aefcfad8,2026-01-11T15:53:49.146103Z,tablet,NM,Port Joshuahaven,TG,home,PROD_1134,Cost Home,4,160.89,643.56
Edge,aefcfad8,2026-01-11T15:53:49.146103Z,tablet,NM,Port Joshuahaven,TG,beauty,PROD_1162,Those Beauty,5,112.61,563.05
Edge,aefcfad8,2026-01-11T15:53:49.146103Z,tablet,NM,Port Joshuahaven,TG,clothing,PROD_1097,Special Clothing,4,241.7,966.80
Edge,01d74256,2026-01-11T15:53:49.798831Z,mobile,NH,East Charlesbury,NA,clothing,PROD_1002,Born Clothing,3,251.08,753.24
Edge,01d74256,2026-01-11T15:53:49.798831Z,mobile,NH,East Charlesbury,NA,home,PROD_1114,Seven Home,4,421.31,1685.24
Edge,01d74256,2026-01-11T15:53:49.798831Z,mobile,NH,East Charlesbury,NA,toys,PROD_1039,Skill Toys,5,278.55,1392.75
Edge,01d74256,2026-01-11T15:53:49.798831Z,mobile,NH,East Charlesbury,NA,books,PROD_1009,Rise Books,1,75.03,75.03
Edge,01d74256,2026-01-11T15:53:49.798831Z,mobile,NH,East Charlesbury,NA,electronics,PROD_1194,Idea Electronics,4,433.8,1735.20
Edge,451b4cf3,2026-01-11T15:53:52.251263Z,desktop,DC,West Joseside,BD,beauty,PROD_1020,Into Beauty,3,387.08,1161.24
Edge,451b4cf3,2026-01-11T15:53:52.251263Z,desktop,DC,West Joseside,BD,sports,PROD_1113,Find Sports,5,365.54,1827.70
Edge,451b4cf3,2026-01-11T15:53:52.251263Z,desktop,DC,West Joseside,BD,sports,PROD_1164,How Sports,1,250.34,250.34
Edge,451b4cf3,2026-01-11T15:53:52.251263Z,desktop,DC,West Joseside,BD,food,PROD_1079,Spring Food,4,282.26,1129.04
Firefox,beb79919,2026-01-11T15:53:52.453293Z,mobile,CO,South Donna,MU,books,PROD_1050,So Books,5,95.27,476.35
Firefox,beb79919,2026-01-11T15:53:52.453293Z,mobile,CO,South Donna,MU,home,PROD_1010,Direction Home,4,281.2,1124.80
