browser,user_id,t_timestamp,device,state,city,country,category,product_id,product_name,quantity,unit_price,line_revenue
Safari,6b65a6a4,2026-01-11T16:30:09.682532Z,mobile,KY,Marshallshire,HN,clothing,PROD_1064,Woman Clothing,3,490.46,1471.38
Safari,6b65a6a4,2026-01-11T16:30:09.682532Z,mobile,KY,Marshallshire,HN,food,PROD_1119,Forget Food,5,221.25,1106.25
Safari,6b65a6a4,2026-01-11T16:30:09.682532Z,mobile,KY,Marshallshire,HN,food,PROD_1034,Parent Food,3,371.81,1115.43
Safari,6b65a6a4,2026-01-11T16:30:09.682532Z,mobile,KY,Marshallshire,HN,food,PROD_1152,Research Food,5,443.78,2218.90
Safari,6b65a6a4,2026-01-11T16:30:09.682532Z,mobile,KY,Marshallshire,HN,home,PROD_1027,Whatever Home,1,150.86,150.86
Firefox,81f631d4,2026-01-11T16:30:09.730224Z,mobile,KY,Lake Edward,BN,sports,PROD_1130,Trade Sports,3,21.0,63.00
Firefox,81f631d4,2026-01-11T16:30:09.730224Z,mobile,KY,Lake Edward,BN,beauty,PROD_1154,Per Beauty,3,434.08,1302.24
Chrome,01d74256,2026-01-11T16:30:09.818332Z,tablet,HI,West Markchester,CO,sports,PROD_1088,Owner Sports,4,79.69,318.76
Chrome,01d74256,2026-01-11T16:30:09.818332Z,tablet,HI,West Markchester,CO,toys,PROD_1036,Her Toys,3,499.46,1498.38
Chrome,01d74256,2026-01-11T16:30:09.818332Z,tablet,HI,West Markchester,CO,clothing,PROD_1137,Paper Clothing,2,475.81,951.62
Safari,47378190,2026-01-11T16:30:09.878841Z,desktop,NE,North Marieland,CH,electronics,PROD_1142,Official Electronics,2,373.34,746.68
Safari,47378190,2026-01-11T16:30:09.878841Z,desktop,NE,North Marieland,CH,food,PROD_1158,Seem Food,4,138.06,552.24
Safari,47378190,2026-01-11T16:30:09.878841Z,desktop,NE,North Marieland,CH,books,PROD_1024,Garden Books,3,404.57,1213.71
Safari,47378190,2026-01-11T16:30:09.878841Z,desktop,NE,North Marieland,CH,home,PROD_1048,I Home,5,37.97,189.85
Safari,ce177b4e,2026-01-11T16:30:09.962871Z,mobile,MP,Mooreburgh,VU,home,PROD_1098,Force Home,1,352.78,352.78
Safari,ce177b4e,2026-01-11T16:30:09.962871Z,mobile,MP,Mooreburgh,VU,clothing,PROD_1097,Reality Clothing,4,52.87,211.48
Safari,ce177b4e,2026-01-11T16:30:09.962871Z,mobile,MP,Mooreburgh,VU,sports,PROD_1052,Say Sports,4,336.85,1347.40
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,electronics,PROD_1069,Act Electronics,4,347.59,1390.36
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,food,PROD_1003,Fire Food,2,244.28,488.56
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,books,PROD_1187,Out Books,2,203.51,407.02
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,sports,PROD_1116,Player Sports,4,290.39,1161.56
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,food,PROD_1085,Both Food,1,240.36,240.36
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,desktop,WV,Patrickmouth,LS,electronics,PROD_1069,Act Electronics,4,347.59,1390.36
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,desktop,WV,Patrickmouth,LS,food,PROD_1003,Fire Food,2,244.28,488.56
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,desktop,WV,Patrickmouth,LS,books,PROD_1187,Out Books,2,203.51,407.02
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,desktop,WV,Patrickmouth,LS,sports,PROD_1116,Player Sports,4,290.39,1161.56
Safari,ab9099a4,2026-01-11T16:30:10.164053Z,desktop,WV,Patrickmouth,LS,food,PROD_1085,Both Food,1,240.36,240.36
Edge,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,electronics,PROD_1069,Act Electronics,4,347.59,1390.36
Edge,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,food,PROD_1003,Fire Food,2,244.28,488.56
Edge,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,books,PROD_1187,Out Books,2,203.51,407.02
Edge,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,sports,PROD_1116,Player Sports,4,290.39,1161.56
Edge,ab9099a4,2026-01-11T16:30:10.164053Z,tablet,WV,Patrickmouth,LS,food,PROD_1085,Both Food,1,240.36,240.36
Safari,6c307511,2026-01-11T16:30:10.408905Z,desktop,VT,South Diana,AD,clothing,PROD_1047,Red Clothing,5,159.48,797.40
Safari,6c307511,2026-01-11T16:30:10.408905Z,desktop,VT,South Diana,AD,electronics,PROD_1003,Save Electronics,5,87.5,437.50
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,books,PROD_1072,Different Books,3,409.42,1228.26
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,books,PROD_1149,Me Books,5,332.56,1662.80
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,home,PROD_1062,Bank Home,2,198.11,396.22
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,sports,PROD_1104,Cause Sports,3,34.46,103.38
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,books,PROD_1061,Personal Books,2,23.58,47.16
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,books,PROD_1072,Different Books,3,409.42,1228.26
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,books,PROD_1149,Me Books,5,332.56,1662.80
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,home,PROD_1062,Bank Home,2,198.11,396.22
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,sports,PROD_1104,Cause Sports,3,34.46,103.38
Firefox,4b0dbb41,2026-01-11T16:30:10.420638Z,desktop,SC,Bellborough,CZ,books,PROD_1061,Personal Books,2,23.58,47.16
Chrome,4b0dbb41,2026-01-11T16:30:10.420638Z,tablet,SC,Bellborough,CZ,books,PROD_1072,Different Books,3,409.42,1228.26
Chrome,4b0dbb41,2026-01-11T16:30:10.420638Z,tablet,SC,Bellborough,CZ,books,PROD_1149,Me Books,5,332.56,1662.80
