browser,user_id,t_timestamp,device,state,city,country,category,product_id,product_name,quantity,unit_price,line_revenue
Safari,ce177b4e,2026-01-11T01:22:11.503346Z,desktop,RI,Grosstown,VN,home,PROD_1026,Hand Home,4,33.54,134.16
Safari,ce177b4e,2026-01-11T01:22:11.503346Z,desktop,RI,Grosstown,VN,clothing,PROD_1148,Support Clothing,4,226.34,905.36
Safari,ce177b4e,2026-01-11T01:22:11.503346Z,desktop,RI,Grosstown,VN,electronics,PROD_1186,Wait Electronics,2,450.3,900.60
Safari,ce177b4e,2026-01-11T01:22:11.503346Z,desktop,RI,Grosstown,VN,beauty,PROD_1156,Leg Beauty,5,381.88,1909.40
Safari,ce177b4e,2026-01-11T01:22:11.503346Z,desktop,RI,Grosstown,VN,books,PROD_1065,Significant Books,1,308.89,308.89
Chrome,4b0dbb41,2026-01-11T01:22:11.624582Z,desktop,TX,New Jesse,MK,clothing,PROD_1134,Number Clothing,2,193.43,386.86
Chrome,4b0dbb41,2026-01-11T01:22:11.624582Z,desktop,TX,New Jesse,MK,clothing,PROD_1115,Return Clothing,2,377.45,754.90
Chrome,4b0dbb41,2026-01-11T01:22:11.624582Z,desktop,TX,New Jesse,MK,sports,PROD_1057,Such Sports,3,50.54,151.62
Chrome,4b0dbb41,2026-01-11T01:22:11.624582Z,desktop,TX,New Jesse,MK,clothing,PROD_1130,Degree Clothing,5,347.69,1738.45
Edge,6c307511,2026-01-11T01:22:11.768319Z,mobile,MA,South Patrick,MD,beauty,PROD_1168,While Beauty,3,241.24,723.72
Safari,451b4cf3,2026-01-11T01:22:13.830337Z,desktop,OK,West Sethbury,SO,electronics,PROD_1158,Kind Electronics,4,85.18,340.72
Safari,451b4cf3,2026-01-11T01:22:13.830337Z,desktop,OK,West Sethbury,SO,home,PROD_1021,Likely Home,2,279.04,558.08
Safari,451b4cf3,2026-01-11T01:22:13.830337Z,desktop,OK,West Sethbury,SO,home,PROD_1003,Gas Home,5,421.33,2106.65
Safari,451b4cf3,2026-01-11T01:22:13.830337Z,desktop,OK,West Sethbury,SO,sports,PROD_1012,End Sports,2,425.5,851.00
Safari,451b4cf3,2026-01-11T01:22:13.830337Z,desktop,OK,West Sethbury,SO,beauty,PROD_1091,Recognize Beauty,2,144.42,288.84
Firefox,1064005c,2026-01-11T01:22:14.112312Z,desktop,WY,Port Ritaville,TO,toys,PROD_1050,Continue Toys,4,140.78,563.12
Firefox,1064005c,2026-01-11T01:22:14.112312Z,desktop,WY,Port Ritaville,TO,electronics,PROD_1160,Become Electronics,1,231.13,231.13
Firefox,1064005c,2026-01-11T01:22:14.112312Z,desktop,WY,Port Ritaville,TO,clothing,PROD_1189,Nor Clothing,5,459.38,2296.90
Firefox,ff50bde4,2026-01-11T01:22:14.237523Z,mobile,NC,Port Brianshire,HN,books,PROD_1121,Guess Books,1,345.34,345.34
Firefox,ff50bde4,2026-01-11T01:22:14.237523Z,mobile,NC,Port Brianshire,HN,books,PROD_1077,Down Books,2,492.8,985.60
Firefox,ff50bde4,2026-01-11T01:22:14.237523Z,mobile,NC,Port Brianshire,HN,clothing,PROD_1110,For Clothing,3,103.29,309.87
Firefox,ff50bde4,2026-01-11T01:22:14.237523Z,mobile,NC,Port Brianshire,HN,home,PROD_1149,Design Home,4,257.15,1028.60
Firefox,ff50bde4,2026-01-11T01:22:14.237523Z,mobile,NC,Port Brianshire,HN,sports,PROD_1106,Door Sports,3,182.62,547.86
Chrome,5715bd6f,2026-01-11T01:22:14.410079Z,tablet,OR,Robertberg,AU,electronics,PROD_1181,Sense Electronics,2,377.46,754.92
Chrome,5715bd6f,2026-01-11T01:22:14.410079Z,tablet,OR,Robertberg,AU,clothing,PROD_1051,Big Clothing,2,86.79,173.58
Edge,6b65a6a4,2026-01-11T01:22:14.465319Z,mobile,DC,East Tabithaview,CM,beauty,PROD_1123,Fund Beauty,2,444.65,889.30
Edge,6b65a6a4,2026-01-11T01:22:14.465319Z,mobile,DC,East Tabithaview,CM,clothing,PROD_1013,Century Clothing,2,10.48,20.96
Edge,6b65a6a4,2026-01-11T01:22:14.465319Z,mobile,DC,East Tabithaview,CM,home,PROD_1041,Set Home,1,49.81,49.81
Edge,6b65a6a4,2026-01-11T01:22:14.465319Z,mobile,DC,East Tabithaview,CM,books,PROD_1177,Writer Books,2,453.0,906.00
Chrome,080aadfb,2026-01-11T01:22:15.254003Z,desktop,DC,Nicolemouth,BF,clothing,PROD_1022,Card Clothing,2,430.2,860.40
Chrome,080aadfb,2026-01-11T01:22:15.254003Z,desktop,DC,Nicolemouth,BF,food,PROD_1078,Support Food,4,74.09,296.36
Chrome,080aadfb,2026-01-11T01:22:15.254003Z,desktop,DC,Nicolemouth,BF,electronics,PROD_1025,Although Electronics,5,296.79,1483.95
Chrome,080aadfb,2026-01-11T01:22:15.254003Z,desktop,DC,Nicolemouth,BF,sports,PROD_1045,Design Sports,5,17.2,86.00
Chrome,080aadfb,2026-01-11T01:22:15.254003Z,desktop,DC,Nicolemouth,BF,home,PROD_1043,Back Home,1,470.58,470.58
