browser,user_id,t_timestamp,device,state,city,country,category,product_id,product_name,quantity,unit_price,line_revenue
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,books,PROD_1108,Better Books,5,380.3,1901.50
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,beauty,PROD_1051,With Beauty,5,108.24,541.20
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,electronics,PROD_1056,Some Electronics,4,236.93,947.72
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,food,PROD_1051,Time Food,1,215.24,215.24
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,home,PROD_1071,Economic Home,3,15.49,46.47
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,books,PROD_1108,Better Books,5,380.3,1901.50
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,beauty,PROD_1051,With Beauty,5,108.24,541.20
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,electronics,PROD_1056,Some Electronics,4,236.93,947.72
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,food,PROD_1051,Time Food,1,215.24,215.24
Safari,43b7a3a6,2026-01-11T03:16:11.692552Z,mobile,GA,New Thomashaven,SE,home,PROD_1071,Economic Home,3,15.49,46.47
Chrome,43b7a3a6,2026-01-11T03:16:11.692552Z,desktop,GA,New Thomashaven,SE,books,PROD_1108,Better Books,5,380.3,1901.50
Chrome,43b7a3a6,2026-01-11T03:16:11.692552Z,desktop,GA,New Thomashaven,SE,beauty,PROD_1051,With Beauty,5,108.24,541.20
Chrome,43b7a3a6,2026-01-11T03:16:11.692552Z,desktop,GA,New Thomashaven,SE,electronics,PROD_1056,Some Electronics,4,236.93,947.72
Chrome,43b7a3a6,2026-01-11T03:16:11.692552Z,desktop,GA,New Thomashaven,SE,food,PROD_1051,Time Food,1,215.24,215.24
Chrome,43b7a3a6,2026-01-11T03:16:11.692552Z,desktop,GA,New Thomashaven,SE,home,PROD_1071,Economic Home,3,15.49,46.47
Firefox,080aadfb,2026-01-11T03:16:12.354208Z,mobile,KS,East Steven,IE,sports,PROD_1002,Leader Sports,4,307.39,1229.56
Firefox,080aadfb,2026-01-11T03:16:12.354208Z,mobile,KS,East Steven,IE,toys,PROD_1188,Billion Toys,3,112.87,338.61
Firefox,81f631d4,2026-01-11T03:16:12.401731Z,tablet,CA,Port Anne,GE,beauty,PROD_1197,Very Beauty,2,358.86,717.72
Firefox,81f631d4,2026-01-11T03:16:12.401731Z,tablet,CA,Port Anne,GE,clothing,PROD_1118,Note Clothing,3,372.91,1118.73
Firefox,81f631d4,2026-01-11T03:16:12.401731Z,tablet,CA,Port Anne,GE,beauty,PROD_1107,Central Beauty,4,422.38,1689.52
Firefox,81f631d4,2026-01-11T03:16:12.401731Z,tablet,CA,Port Anne,GE,books,PROD_1005,Important Books,4,182.64,730.56
Firefox,b09b2a5c,2026-01-11T03:16:12.840559Z,tablet,OK,Susanmouth,MC,clothing,PROD_1121,Act Clothing,4,216.88,867.52
Firefox,b09b2a5c,2026-01-11T03:16:12.840559Z,tablet,OK,Susanmouth,MC,books,PROD_1055,Discover Books,4,226.08,904.32
Firefox,b09b2a5c,2026-01-11T03:16:12.840559Z,tablet,OK,Susanmouth,MC,food,PROD_1050,Mouth Food,5,258.5,1292.50
Firefox,b09b2a5c,2026-01-11T03:16:12.840559Z,tablet,OK,Susanmouth,MC,sports,PROD_1067,Lose Sports,5,80.35,401.75
Chrome,b09b2a5c,2026-01-11T03:16:12.840559Z,desktop,OK,Susanmouth,MC,clothing,PROD_1121,Act Clothing,4,216.88,867.52
Chrome,b09b2a5c,2026-01-11T03:16:12.840559Z,desktop,OK,Susanmouth,MC,books,PROD_1055,Discover Books,4,226.08,904.32
Chrome,b09b2a5c,2026-01-11T03:16:12.840559Z,desktop,OK,Susanmouth,MC,food,PROD_1050,Mouth Food,5,258.5,1292.50
Chrome,b09b2a5c,2026-01-11T03:16:12.840559Z,desktop,OK,Susanmouth,MC,sports,PROD_1067,Lose Sports,5,80.35,401.75
Firefox,bdd640fb,2026-01-11T03:16:12.866060Z,tablet,VT,Port Christinebury,BS,beauty,PROD_1093,Woman Beauty,2,423.37,846.74
Firefox,bdd640fb,2026-01-11T03:16:12.866060Z,tablet,VT,Port Christinebury,BS,toys,PROD_1073,To Toys,5,254.01,1270.05
Firefox,bdd640fb,2026-01-11T03:16:12.866060Z,tablet,VT,Port Christinebury,BS,electronics,PROD_1110,Forward Electronics,3,25.11,75.33
Firefox,bdd640fb,2026-01-11T03:16:12.866060Z,tablet,VT,Port Christinebury,BS,beauty,PROD_1188,Admit Beauty,2,17.35,34.70
Chrome,7e570ddf,2026-01-11T03:16:12.878256Z,desktop,VA,Robertland,HN,electronics,PROD_1065,Executive Electronics,5,362.66,1813.30
Chrome,7e570ddf,2026-01-11T03:16:12.878256Z,desktop,VA,Robertland,HN,books,PROD_1096,Class Books,1,214.37,214.37
Chrome,7e570ddf,2026-01-11T03:16:12.878256Z,desktop,VA,Robertland,HN,toys,PROD_1024,Husband Toys,1,374.9,374.90
Chrome,7e570ddf,2026-01-11T03:16:12.878256Z,desktop,VA,Robertland,HN,toys,PROD_1000,Seek Toys,2,432.73,865.46
Edge,beb79919,2026-01-11T03:16:12.905032Z,mobile,TX,Port Melaniechester,CU,toys,PROD_1038,Century Toys,4,200.74,802.96
Edge,beb79919,2026-01-11T03:16:12.905032Z,mobile,TX,Port Melaniechester,CU,beauty,PROD_1001,First Beauty,4,389.87,1559.48
Edge,beb79919,2026-01-11T03:16:12.905032Z,mobile,TX,Port Melaniechester,CU,electronics,PROD_1136,Full Electronics,1,45.59,45.59
Chrome,ff50bde4,2026-01-11T03:16:13.178113Z,mobile,MA,Stephanieland,MT,electronics,PROD_1135,Write Electronics,3,275.95,827.85
Chrome,ff50bde4,2026-01-11T03:16:13.178113Z,mobile,MA,Stephanieland,MT,beauty,PROD_1060,Model Beauty,2,244.75,489.50
Chrome,ff50bde4,2026-01-11T03:16:13.178113Z,mobile,MA,Stephanieland,MT,food,PROD_1064,Chance Food,1,353.57,353.57
Chrome,ff50bde4,2026-01-11T03:16:13.178113Z,mobile,MA,Stephanieland,MT,electronics,PROD_1184,Glass Electronics,4,19.31,77.24
Chrome,ff50bde4,2026-01-11T03:16:13.178113Z,mobile,MA,Stephanieland,MT,food,PROD_1081,Skill Food,5,76.4,382.00
Edge,4b0dbb41,2026-01-11T03:16:13.190332Z,tablet,AL,Hernandezstad,BT,food,PROD_1095,College Food,4,319.93,1279.72
Edge,4b0dbb41,2026-01-11T03:16:13.190332Z,tablet,AL,Hernandezstad,BT,toys,PROD_1103,Sign Toys,2,488.55,977.10
Edge,4b0dbb41,2026-01-11T03:16:13.190332Z,tablet,AL,Hernandezstad,BT,food,PROD_1168,Bad Food,1,135.85,135.85
