browser,user_id,t_timestamp,device,state,city,country,brand,category,product_id,product_name,quantity,unit_price,line_revenue
Edge,7cb4f04a,2026-01-19T17:42:13.158457Z,mobile,KS,New Troyside,US,StyleCo,beauty,PROD_2824,Classic Beauty Kit,4,154.21,616.84
Edge,7cb4f04a,2026-01-19T17:42:13.158457Z,mobile,KS,New Troyside,US,SportFlex,electronics,PROD_1784,Ultimate Electronics Line,4,297.1,1188.40
Edge,7cb4f04a,2026-01-19T17:42:13.158457Z,mobile,KS,New Troyside,US,HomeMax,beauty,PROD_2277,Advanced Beauty Version,1,226.96,226.96
Chrome,26859baf,2026-01-19T17:42:15.647024Z,mobile,OR,Deannachester,US,ValueBest,food,PROD_1421,Classic Food Kit,4,122.07,488.28
Chrome,26859baf,2026-01-19T17:42:15.647024Z,mobile,OR,Deannachester,US,SmartChoice,home,PROD_2850,Classic Home Set,5,358.28,1791.40
Chrome,26859baf,2026-01-19T17:42:15.647024Z,mobile,OR,Deannachester,US,SportFlex,food,PROD_2312,Professional Food Pack,1,85.74,85.74
Chrome,26859baf,2026-01-19T17:42:15.647024Z,mobile,OR,Deannachester,US,ValueBest,beauty,PROD_2607,Professional Beauty Line,5,181.43,907.15
Chrome,26859baf,2026-01-19T17:42:15.647024Z,mobile,OR,Deannachester,US,HomeMax,electronics,PROD_2882,Ultimate Electronics Model,1,51.33,51.33
Edge,32843bf1,2026-01-19T17:42:16.583611Z,mobile,AK,South Isaac,US,ProGear,sports,PROD_1480,Basic Sports Series,5,114.4,572.00
Edge,32843bf1,2026-01-19T17:42:16.583611Z,mobile,AK,South Isaac,US,SmartChoice,beauty,PROD_2762,Mega Beauty Pack,5,367.65,1838.25
Edge,32843bf1,2026-01-19T17:42:16.583611Z,mobile,AK,South Isaac,US,HomeMax,home,PROD_2167,Smart Home Version,3,410.1,1230.30
Edge,32843bf1,2026-01-19T17:42:16.583611Z,mobile,AK,South Isaac,US,PremiumPlus,beauty,PROD_1349,Advanced Beauty Line,2,86.55,173.10
Edge,32843bf1,2026-01-19T17:42:16.583611Z,mobile,AK,South Isaac,US,ProGear,beauty,PROD_2158,Advanced Beauty Line,2,397.33,794.66
Chrome,d4b500da,2026-01-19T17:42:17.283083Z,tablet,MN,South Brent,US,SportFlex,clothing,PROD_1199,Compact Clothing Series,5,178.16,890.80
Chrome,d4b500da,2026-01-19T17:42:17.283083Z,tablet,MN,South Brent,US,GreenLife,sports,PROD_1890,Essential Sports Kit,2,119.87,239.74
Chrome,1fe0cb77,2026-01-19T17:42:17.816402Z,desktop,OH,Johnshire,US,SmartChoice,books,PROD_2145,Advanced Books Series,5,27.26,136.30
Chrome,1fe0cb77,2026-01-19T17:42:17.816402Z,desktop,OH,Johnshire,US,SmartChoice,food,PROD_1205,Smart Food Version,5,210.53,1052.65
Chrome,1fe0cb77,2026-01-19T17:42:17.816402Z,desktop,OH,Johnshire,US,SmartChoice,books,PROD_2643,Mega Books Edition,5,231.59,1157.95
Chrome,1fe0cb77,2026-01-19T17:42:17.816402Z,desktop,OH,Johnshire,US,GreenLife,sports,PROD_2456,Premium Sports Set,1,344.03,344.03
Chrome,1fe0cb77,2026-01-19T17:42:17.816402Z,desktop,OH,Johnshire,US,PremiumPlus,toys,PROD_1651,Pro Toys Kit,1,179.87,179.87
Edge,fd7b4754,2026-01-19T17:42:18.586942Z,tablet,AS,Wendytown,US,ProGear,sports,PROD_1993,Essential Sports Series,3,423.9,1271.70
Edge,fd7b4754,2026-01-19T17:42:18.586942Z,tablet,AS,Wendytown,US,PremiumPlus,books,PROD_1952,Deluxe Books Edition,4,238.95,955.80
Edge,fd7b4754,2026-01-19T17:42:18.586942Z,tablet,AS,Wendytown,US,GreenLife,toys,PROD_2623,Smart Toys Edition,5,62.01,310.05
Edge,fd7b4754,2026-01-19T17:42:18.586942Z,tablet,AS,Wendytown,US,EliteChoice,home,PROD_2619,Basic Home Collection,1,356.42,356.42
Edge,fd7b4754,2026-01-19T17:42:18.586942Z,tablet,AS,Wendytown,US,SportFlex,clothing,PROD_1607,Ultimate Clothing Collection,5,269.24,1346.20
Chrome,cde8ef66,2026-01-19T17:42:19.085168Z,tablet,SD,East Michelleshire,US,ValueBest,beauty,PROD_1652,Compact Beauty Set,5,285.34,1426.70
Chrome,cde8ef66,2026-01-19T17:42:19.085168Z,tablet,SD,East Michelleshire,US,TechPro,home,PROD_1719,Pro Home Series,3,450.23,1350.69
Chrome,cde8ef66,2026-01-19T17:42:19.085168Z,tablet,SD,East Michelleshire,US,EliteChoice,books,PROD_1163,Pro Books Line,1,29.83,29.83
Safari,fd7b4754,2026-01-19T17:42:19.854846Z,tablet,CA,Elizabethport,US,ProGear,electronics,PROD_1689,Ultra Electronics Bundle,1,94.67,94.67
Safari,fd7b4754,2026-01-19T17:42:19.854846Z,tablet,CA,Elizabethport,US,TechPro,clothing,PROD_2724,Modern Clothing Series,2,229.64,459.28
Safari,fd7b4754,2026-01-19T17:42:19.854846Z,tablet,CA,Elizabethport,US,HomeMax,books,PROD_2942,Professional Books Pack,1,304.69,304.69
Safari,fd7b4754,2026-01-19T17:42:19.854846Z,tablet,CA,Elizabethport,US,ValueBest,home,PROD_1324,Essential Home Set,4,345.54,1382.16
Safari,fd7b4754,2026-01-19T17:42:19.854846Z,tablet,CA,Elizabethport,US,ValueBest,sports,PROD_1176,Ultimate Sports Series,3,120.27,360.81
Chrome,66234039,2026-01-19T17:42:20.857231Z,mobile,NE,Anthonyside,US,TechPro,beauty,PROD_2366,Deluxe Beauty Edition,5,132.08,660.40
Chrome,66234039,2026-01-19T17:42:20.857231Z,mobile,NE,Anthonyside,US,EliteChoice,home,PROD_1616,Advanced Home Line,1,327.87,327.87
Chrome,66234039,2026-01-19T17:42:20.857231Z,mobile,NE,Anthonyside,US,GreenLife,toys,PROD_1555,Pro Toys Set,1,144.22,144.22
Chrome,66234039,2026-01-19T17:42:20.857231Z,mobile,NE,Anthonyside,US,ValueBest,books,PROD_1971,Advanced Books Version,1,316.15,316.15
Chrome,66234039,2026-01-19T17:42:20.857231Z,mobile,NE,Anthonyside,US,TechPro,books,PROD_1601,Professional Books Series,1,262.24,262.24
Firefox,e0a74971,2026-01-19T17:42:20.898210Z,tablet,PA,New Alexisbury,US,SmartChoice,toys,PROD_1753,Classic Toys Kit,1,188.58,188.58
Firefox,e0a74971,2026-01-19T17:42:20.898210Z,tablet,PA,New Alexisbury,US,EliteChoice,food,PROD_1734,Ultra Food Edition,4,171.8,687.20
Firefox,e0a74971,2026-01-19T17:42:20.898210Z,tablet,PA,New Alexisbury,US,TechPro,food,PROD_1279,Smart Food Edition,4,92.62,370.48
Firefox,e0a74971,2026-01-19T17:42:20.898210Z,tablet,PA,New Alexisbury,US,EliteChoice,clothing,PROD_1742,Classic Clothing Series,2,55.42,110.84
Firefox,a752b66b,2026-01-19T17:44:42.052597Z,tablet,OR,Christopherhaven,US,EliteChoice,food,PROD_2084,Elite Food Pack,1,246.45,246.45
