browser,user_id,t_timestamp,device,state,city,country,brand,category,product_id,product_name,quantity,unit_price,line_revenue
Chrome,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,TechPro,food,PROD_1104,Advanced Food Collection,5,168.28,841.40
Chrome,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,TechPro,books,PROD_1627,Ultimate Books Set,1,423.3,423.30
Chrome,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,SportFlex,electronics,PROD_2734,Ultra Electronics Version,1,307.19,307.19
Chrome,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,SportFlex,food,PROD_1873,Essential Food Bundle,2,322.38,644.76
Edge,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,TechPro,food,PROD_1104,Advanced Food Collection,5,168.28,841.40
Edge,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,TechPro,books,PROD_1627,Ultimate Books Set,1,423.3,423.30
Edge,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,SportFlex,electronics,PROD_2734,Ultra Electronics Version,1,307.19,307.19
Edge,842f9323,2026-01-19T17:48:10.163751Z,tablet,HI,Phillipsland,US,SportFlex,food,PROD_1873,Essential Food Bundle,2,322.38,644.76
Firefox,47e6d7dc,2026-01-19T17:48:10.241717Z,mobile,MP,Kentstad,US,ProGear,food,PROD_2497,Ultimate Food Collection,5,345.04,1725.20
Firefox,47e6d7dc,2026-01-19T17:48:10.241717Z,mobile,MP,Kentstad,US,StyleCo,home,PROD_2914,Advanced Home Version,1,250.38,250.38
Firefox,47e6d7dc,2026-01-19T17:48:10.241717Z,mobile,MP,Kentstad,US,ValueBest,food,PROD_1473,Advanced Food Version,2,194.48,388.96
Firefox,47e6d7dc,2026-01-19T17:48:10.241717Z,mobile,MP,Kentstad,US,HomeMax,beauty,PROD_1502,Premium Beauty Edition,5,116.06,580.30
Firefox,47e6d7dc,2026-01-19T17:48:10.241717Z,mobile,MP,Kentstad,US,GreenLife,beauty,PROD_2321,Pro Beauty Edition,1,237.88,237.88
Chrome,d40f261a,2026-01-19T17:48:10.373904Z,tablet,HI,Port Latoyahaven,US,PremiumPlus,electronics,PROD_1602,Essential Electronics Bundle,4,212.89,851.56
Firefox,692b7e53,2026-01-19T17:48:10.486587Z,desktop,FL,Port Jacobfurt,US,HomeMax,home,PROD_1040,Ultimate Home Collection,4,285.4,1141.60
