browser,user_id,t_timestamp,device,state,city,country,brand,category,product_id,product_name,quantity,unit_price,line_revenue
Chrome,25a9c1ae,2026-01-19T17:47:57.576275Z,mobile,MS,Leachbury,US,EliteChoice,food,PROD_2084,Elite Food Pack,5,254.81,1274.05
Chrome,25a9c1ae,2026-01-19T17:47:57.576275Z,mobile,MS,Leachbury,US,StyleCo,books,PROD_2416,Advanced Books Model,2,48.81,97.62
Chrome,25a9c1ae,2026-01-19T17:47:57.576275Z,mobile,MS,Leachbury,US,SmartChoice,electronics,PROD_2890,Premium Electronics Model,5,38.55,192.75
Chrome,25a9c1ae,2026-01-19T17:47:57.576275Z,mobile,MS,Leachbury,US,StyleCo,sports,PROD_2332,Essential Sports Model,4,164.88,659.52
Edge,4b55c9d1,2026-01-19T17:47:57.802608Z,tablet,SD,South Matthewmouth,US,ValueBest,beauty,PROD_1542,Ultimate Beauty Series,3,423.73,1271.19
Edge,4b55c9d1,2026-01-19T17:47:57.802608Z,tablet,SD,South Matthewmouth,US,EliteChoice,home,PROD_2519,Classic Home Series,2,410.56,821.12
Edge,4b55c9d1,2026-01-19T17:47:57.802608Z,tablet,SD,South Matthewmouth,US,ValueBest,beauty,PROD_2270,Classic Beauty Version,4,148.1,592.40
Chrome,bbd07fda,2026-01-19T17:47:58.014591Z,mobile,IL,Lisahaven,US,SportFlex,food,PROD_2210,Deluxe Food Set,1,232.8,232.80
Chrome,bbd07fda,2026-01-19T17:47:58.014591Z,mobile,IL,Lisahaven,US,ProGear,clothing,PROD_2921,Mega Clothing Kit,4,336.86,1347.44
Chrome,bbd07fda,2026-01-19T17:47:58.014591Z,mobile,IL,Lisahaven,US,ValueBest,sports,PROD_1836,Pro Sports Line,4,49.79,199.16
Chrome,bbd07fda,2026-01-19T17:47:58.014591Z,mobile,IL,Lisahaven,US,ProGear,books,PROD_1102,Mega Books Collection,5,416.25,2081.25
Firefox,8051d8b1,2026-01-19T17:47:58.494570Z,desktop,DE,Churchview,US,StyleCo,books,PROD_2015,Premium Books Line,1,416.88,416.88
Edge,3ac5bf6d,2026-01-19T17:48:01.372234Z,tablet,MH,Shanefort,US,GreenLife,toys,PROD_1512,Ultra Toys Version,2,416.24,832.48
Edge,3ac5bf6d,2026-01-19T17:48:01.372234Z,tablet,MH,Shanefort,US,GreenLife,books,PROD_1075,Essential Books Set,3,219.69,659.07
Edge,3ac5bf6d,2026-01-19T17:48:01.372234Z,tablet,MH,Shanefort,US,SportFlex,sports,PROD_2944,Essential Sports Collection,4,462.87,1851.48
Edge,3ac5bf6d,2026-01-19T17:48:01.372234Z,tablet,MH,Shanefort,US,ValueBest,sports,PROD_1836,Pro Sports Line,4,49.87,199.48
Firefox,9ff2d619,2026-01-19T17:48:01.444812Z,mobile,AZ,New Derrick,US,SmartChoice,toys,PROD_2279,Ultra Toys Bundle,2,426.77,853.54
Firefox,9ff2d619,2026-01-19T17:48:01.444812Z,mobile,AZ,New Derrick,US,StyleCo,electronics,PROD_2965,Modern Electronics Series,3,114.93,344.79
Firefox,9ff2d619,2026-01-19T17:48:01.444812Z,mobile,AZ,New Derrick,US,EliteChoice,clothing,PROD_2384,Compact Clothing Kit,4,165.9,663.60
Firefox,9ff2d619,2026-01-19T17:48:01.444812Z,mobile,AZ,New Derrick,US,ProGear,clothing,PROD_2994,Essential Clothing Series,3,119.94,359.82
Firefox,9ff2d619,2026-01-19T17:48:01.444812Z,mobile,AZ,New Derrick,US,SmartChoice,home,PROD_2900,Deluxe Home Version,2,327.81,655.62
