transaction_id,timestamp,city,total,running_total_spent,purchase_rank_by_price
00018cb5-c342-4e2e-83a4-a8ca1fd38e41,2026-01-19T17:46:04.928944Z,South Aaronborough,3655.62,3655.62,1
0006990d-8f77-4e13-b4f3-e6e1551104e0,2026-01-19T17:42:49.538874Z,Josephland,2978.79,2978.79,1
00111a22-9113-4755-84bf-9b917e7dfdd3,2026-01-19T17:45:19.980623Z,South Lindastad,1384.71,1384.71,1
001c7f47-3e7c-4910-b846-33969ecd7931,2026-01-19T17:46:49.924512Z,New Madeline,735.71,735.71,1
002fd988-b59a-426d-80e2-f4cd49022bcc,2026-01-19T17:38:58.714912Z,South Kimberlyport,3491.9,3491.9,1
003b0ee4-05aa-4778-99d6-cd83ba9a8ef1,2026-01-19T17:45:19.863794Z,Hamptonville,5361.91,5361.91,1
003e5036-76f5-4c49-bc5c-3d5e76e619ec,2026-01-19T17:44:39.325909Z,Wallacebury,-3968.37,-3968.37,1
0055ed1e-0fb3-47e5-a668-5d08691a6182,2026-01-19T17:47:07.308646Z,Murilloshire,-414.61,-414.61,1
005ce0cd-f732-4ff1-b039-29e00b6fd7d7,2026-01-19T17:46:17.189902Z,New Yeseniaport,430.95,430.95,1
00624223-577b-4b51-ac36-c70a9e3b5cd2,2026-01-19T17:43:06.191898Z,North Heathertown,-743.44,-743.44,1
0064b7f5-880d-4761-8077-c3fb11c7b557,2026-01-19T17:48:14.759443Z,Bakermouth,520.93,520.93,1
006672da-506f-47b2-9a1d-3f6bb1716e12,2026-01-19T17:45:33.411533Z,New Kara,1447.96,1447.96,1
00673305-9d1b-45f2-b7cc-fee17f3d93e2,2026-01-19T17:41:59.837754Z,Mccartymouth,294.38,294.38,1
006b26ed-185b-4f43-ad96-2754878c0a14,2026-01-19T17:44:37.321384Z,Richardstad,541.92,541.92,1
00730763-b2f1-40fd-b36c-1c95322dd27d,2026-01-19T17:48:06.196544Z,Gregoryland,829.95,829.95,1
0074bd75-47f9-4044-bcdb-72577ff43bcd,2026-01-19T17:45:25.735650Z,South Christopher,3379.35,3379.35,1
007bea8c-f102-4457-b62e-1e26011b8a89,2026-01-19T17:45:39.688050Z,Blackport,323.85,323.85,1
00836a3c-4042-4e4d-80fb-29bf4c41f50c,2026-01-19T17:47:00.557886Z,North Hannah,3512.09,3512.09,1
00844080-e583-454f-93f3-1873e2924859,2026-01-19T17:39:05.915848Z,East Jenna,2596.41,2596.41,1
008657cf-f7d2-4626-a80f-a6be4bc024e2,2026-01-19T17:48:16.617300Z,New Amberview,3966.33,3966.33,1
008698e8-f67a-4d6c-a093-02f3d6b93106,2026-01-19T17:40:32.769211Z,New Angela,1706.35,1706.35,1
008aacb6-e795-4259-b44d-7e4564cd218a,2026-01-19T17:45:10.770833Z,Mcclureland,2442.68,2442.68,1
008eec81-603f-4efe-9314-f20539fbc040,2026-01-19T17:47:37.591982Z,New Vanessa,793.44,793.44,1
009fe395-0ddc-4868-9c9e-163c52425a18,2026-01-19T17:41:01.443474Z,West Holly,1410.43,1410.43,1
00a7b0a2-87eb-43cc-93f8-4bf48b2af1b8,2026-01-19T17:44:48.397663Z,Chelseaport,-3985.4,-3985.4,1
00a7cfba-26b2-4cb6-ab32-9da85dabf375,2026-01-19T17:46:52.917490Z,North Jeffrey,-4188.89,-4188.89,1
00ae3f91-432b-4e8a-8467-48bfe260f8fc,2026-01-19T17:42:53.309176Z,Williamsonchester,1236.52,1236.52,1
00b7aef9-cbfe-41ff-8bb4-74d380b6e16b,2026-01-19T17:43:47.076575Z,North Kenneth,-1909.55,-1909.55,1
00c2f77e-93c3-4b45-ba9b-30ff3d3bfd0d,2026-01-19T17:48:21.546321Z,South Donald,3117.12,3117.12,1
00c8149f-98ff-4c36-bb59-816c9a9011d5,2026-01-19T17:41:12.451519Z,Brianton,601.02,601.02,1
00c8c805-9120-4c1d-9276-0e718d2fca41,2026-01-19T17:39:36.789808Z,Campbellshire,859.66,859.66,1
00ccc45d-b695-4657-919c-4c567596626c,2026-01-19T17:45:32.466403Z,Martinezberg,764.12,764.12,1
00d0db89-915e-4ac8-9497-7ef639c5905b,2026-01-19T17:42:58.915807Z,New Lisa,1807.04,1807.04,1
00d2e51c-0ed1-47a7-b753-e2eb244844b6,2026-01-19T17:46:55.156662Z,Davidmouth,4806.26,4806.26,1
00d7f1da-5652-4afa-abd9-0e2eeab753e4,2026-01-19T17:41:30.974627Z,Hollyfurt,-3987.27,-3987.27,1
00d88e39-56b0-4c28-9f61-bf85f2310ac9,2026-01-19T17:48:04.753683Z,Port Alexandra,-3282.85,-3282.85,1
00df9914-1116-434b-b118-ab0a2078553b,2026-01-19T17:40:39.322081Z,West Amber,655.07,655.07,1
00e16ed1-d63a-46ce-85c4-0549952593bc,2026-01-19T17:46:01.329924Z,Harperfort,146.36,146.36,1
00e7d880-a4ba-4887-8cd5-7c1475ebae7a,2026-01-19T17:45:40.869459Z,Port Anthony,115.3,115.3,1
00ec8fa1-d3f7-4df7-a9ce-90cb740d2f6b,2026-01-19T17:39:49.550584Z,Lake Amy,-2172.43,-2172.43,1
00eebd9f-c58e-4f73-b63c-60f6f549e52e,2026-01-19T17:47:48.701034Z,Amberborough,602.56,602.56,1
00f0cac0-da6e-47e6-956f-eb4bcfe1643f,2026-01-19T17:43:11.600800Z,Christinaview,224.73,224.73,1
00f6ad05-f110-416a-b527-a719d46c8ff7,2026-01-19T17:39:30.767001Z,North Joseville,-332.37,-332.37,1
010345fb-7999-46ac-a27f-54c32a01c900,2026-01-19T17:39:38.117620Z,Burkeland,2820.26,2820.26,1
0107452e-36df-4527-862d-f04e8feb0838,2026-01-19T17:41:38.728034Z,New Kristin,3397.98,3397.98,1
010c603b-d7b1-478c-b4bd-e5465289476f,2026-01-19T17:42:33.622304Z,Lake Brooke,-3851.1,-3851.1,1
010cdfe7-b8e3-492f-bca8-315559bc7abc,2026-01-19T17:40:18.382162Z,Meghanfurt,2213.92,2213.92,1
010e0481-3af5-4bff-bd1d-0b1ffaec99ed,2026-01-19T17:41:27.843198Z,Port Nicoleville,1690.59,1690.59,1
01185c6a-6f40-48a5-a3aa-fdce5289ad48,2026-01-19T17:46:12.278703Z,West Kelly,152.37,152.37,1
0123aa1c-0457-4073-8dbe-f73e469f3979,2026-01-19T17:43:27.454435Z,Acostashire,-2852.72,-2852.72,1
01252734-79dc-4f82-8cb6-650c347ed9cf,2026-01-19T17:42:20.435191Z,Elizabethborough,646.58,646.58,1
012c3c6b-ecc9-4a33-9882-55cf818507ac,2026-01-19T17:40:42.099717Z,East Brittanystad,3577.67,3577.67,1
012cdd77-f2f4-41b9-b4b0-5111f933023a,2026-01-19T17:44:59.565885Z,Stevenborough,977.98,977.98,1
012f9d85-d290-4279-a4c3-0953844c53f0,2026-01-19T17:44:51.710230Z,Owenhaven,1752.44,1752.44,1
013b52d5-7dda-4ce7-8f51-7069277a67fa,2026-01-19T17:44:18.314650Z,Ramseyfort,2056.75,2056.75,1
014188fc-859d-462d-b841-26cb32c6e3e4,2026-01-19T17:48:16.614672Z,Dunnport,130.24,130.24,1
0145981b-eac0-4a61-8708-f6f77910274d,2026-01-19T17:42:28.890052Z,West Jennifer,1095.84,1095.84,1
0147892b-23b6-4380-9cff-b57d4a70d37d,2026-01-19T17:39:50.650181Z,Walkerport,2361.56,2361.56,1
0148272b-d2b1-4549-b156-4aa2528612c3,2026-01-19T17:45:54.380718Z,Tonyamouth,-532.18,-532.18,1
014b07da-bd55-41ba-9a18-67d3fc2e5801,2026-01-19T17:44:41.720908Z,Port Anthony,819.62,819.62,1
014e5baa-3bf1-49a0-9382-2ab96ba25c6a,2026-01-19T17:42:20.644960Z,Kellyside,-3323.99,-3323.99,1
0158ecdb-9149-4d9f-94ed-068f534dc0e5,2026-01-19T17:48:09.652275Z,Clarktown,1051.21,1051.21,1
015ebd79-bc53-4883-8afc-746f695435f5,2026-01-19T17:45:25.129444Z,Dalemouth,1237.59,1237.59,1
0162a15f-2645-4908-b8c6-0de75d4a5850,2026-01-19T17:48:03.178748Z,North Sonya,6069.74,6069.74,1
016c7f93-9280-4476-afe1-cb4559b2d3ed,2026-01-19T17:39:15.091149Z,Port Benjamin,4362.2,4362.2,1
016eaf0c-3f48-4686-beb4-375adcd7d8f7,2026-01-19T17:48:12.112224Z,Lake Christinefort,901.05,901.05,1
0171a242-2fcb-406e-9d86-7a2d6fa29e1b,2026-01-19T17:45:30.698581Z,Port Taylorborough,2494.81,2494.81,1
017418f8-6788-429e-8451-856547b0bc0c,2026-01-19T17:47:36.022488Z,Shelleyfort,1284.99,1284.99,1
018a21c4-bf39-4dc9-a897-5eead7101a77,2026-01-19T17:45:16.616213Z,Craigstad,826.74,826.74,1
01928aa9-fd9f-42d3-ba92-55e8c3927474,2026-01-19T17:45:17.892068Z,New Chris,5515.36,5515.36,1
019de3e8-4622-4f9e-90f5-cf3a2eb2da13,2026-01-19T17:44:47.514114Z,Spencerstad,-41.45,-41.45,1
01a03993-5ca8-4176-b90b-d276501fe4bc,2026-01-19T17:40:05.535738Z,Garyburgh,109.56,109.56,1
01a2cd64-2ca5-438b-91f0-3b9dd67edfb2,2026-01-19T17:48:19.528177Z,Danatown,5377.61,5377.61,1
01a6da0a-b88b-4556-8ffc-e924e9d4a07a,2026-01-19T17:42:27.935499Z,Watkinsshire,2446.12,2446.12,1
01ab013d-747b-4fd5-9803-c61abffb72e8,2026-01-19T17:45:50.548473Z,Michelleshire,2088.62,2088.62,1
01ab1dd1-095c-423b-a7db-6c9c7d15886e,2026-01-19T17:46:29.160707Z,Delgadoside,873.33,873.33,1
01ab96e7-5ff6-4fa8-929b-3bf8799b871d,2026-01-19T17:39:13.362534Z,Stephaniechester,831.21,831.21,1
01ac77f1-5aba-40b3-bc5b-17463296f14c,2026-01-19T17:47:19.931660Z,Alyssahaven,1205.46,1205.46,1
01b19beb-2edd-456a-8c02-96b5efa5b288,2026-01-19T17:39:28.728172Z,Cowanside,-1816.89,-1816.89,1
01b220c8-75e8-48ee-a386-7919776a077f,2026-01-19T17:47:40.591074Z,Laurafort,5213.85,5213.85,1
01b2adab-7cad-4d44-8832-aa03d1867d1a,2026-01-19T17:47:15.810400Z,East Patricia,1481.12,1481.12,1
01b411bd-df3f-4e47-939d-f042f1f6310d,2026-01-19T17:39:25.467462Z,Lake Jennashire,612.89,612.89,1
01b43262-454a-4043-83d8-3e0f7da1d9fd,2026-01-19T17:44:19.937036Z,Kimberlychester,2445.22,2445.22,1
01b56d1f-5e4e-4553-9124-f7dc82b25780,2026-01-19T17:40:00.959418Z,Francoberg,2850.89,2850.89,1
01c45bf3-cb37-4757-85cf-b5b7cbf63df4,2026-01-19T17:47:41.626222Z,Bryanberg,4925.36,4925.36,1
01cd999d-0586-49f8-b59a-f5a927517e11,2026-01-19T17:45:40.596508Z,New Johnstad,5287.87,5287.87,1
01d38985-b0fb-4302-97e8-f2ca1a54588d,2026-01-19T17:46:35.741676Z,North Christopher,1585.27,1585.27,1
01d9fc19-9782-49c1-acb7-e93bea0a1a3c,2026-01-19T17:41:57.669862Z,Lake Susantown,1653.34,1653.34,1
01e3ca26-8e6f-4648-ac4e-f7ecc878d313,2026-01-19T17:40:11.450463Z,Barbarahaven,-1675.7,-1675.7,1
01e49443-461c-4a44-ac59-372c2fea85fe,2026-01-19T17:45:35.149751Z,Lake Kelly,-2273.44,-2273.44,1
01e5777b-fbde-4ab0-8cdb-03a7373a5b8b,2026-01-19T17:47:00.235932Z,South Laura,3699.34,3699.34,1
01effd2d-24da-4599-9910-d1c01834faec,2026-01-19T17:45:09.486077Z,West Michelle,2195.81,2195.81,1
01f2be08-c54a-4802-85f6-a36d23505849,2026-01-19T17:43:23.902663Z,North Kevinport,2634.36,2634.36,1
01f2f1bc-75d2-4e6e-8a05-6f66b9e05bc0,2026-01-19T17:45:41.660058Z,Haroldburgh,626.88,626.88,1
01f42e89-d078-4121-be36-7082cd19a087,2026-01-19T17:44:25.989156Z,Port Matthewberg,408.57,408.57,1
01f48630-77df-4c20-ac6e-48c57730675c,2026-01-19T17:45:28.940930Z,East Josephbury,1130.77,1130.77,1
01f85d6b-52c0-4b50-845c-ca56ce8aa3a7,2026-01-19T17:45:38.846033Z,Port Christian,-1783.07,-1783.07,1
022a4136-3945-4e61-9f6b-42d558bf09e9,2026-01-19T17:41:27.813648Z,Markview,1827.37,1827.37,1
022b8ae8-d127-415e-b74e-decbdef25abc,2026-01-19T17:45:40.194501Z,New Brittany,4868.8,4868.8,1
02300f92-46f2-47b1-a101-93d208b4accb,2026-01-19T17:45:46.753428Z,Cynthiafort,1540.79,1540.79,1
02367323-5777-4522-af64-b1475ac459d7,2026-01-19T17:46:07.401588Z,Joannashire,5391.98,5391.98,1
023750be-ed0a-4527-960a-009a32a246f1,2026-01-19T17:41:23.767608Z,East Phillipchester,1024.55,1024.55,1
02559a94-eff0-47d1-a0d0-2aa67e651ddc,2026-01-19T17:48:20.359084Z,East Bobbyport,3150.63,3150.63,1
025712b3-2d1b-4246-bc93-bc5e917b732f,2026-01-19T17:43:16.934904Z,East Vicki,-879.91,-879.91,1
0258659c-bbcd-478f-870a-9e5a08c3ddd8,2026-01-19T17:39:55.289767Z,Darlenestad,4597.55,4597.55,1
026619c8-3ba0-4757-86df-59b01eaef41e,2026-01-19T17:48:05.006172Z,North Williamville,2663.68,2663.68,1
02663ff9-d64b-446d-8cd8-01d77b9380bc,2026-01-19T17:46:53.155668Z,Lake Timothy,3987.22,3987.22,1
0272789e-de89-4fab-9a6a-6ff613421ac5,2026-01-19T17:42:43.886856Z,Kyleside,137.58,137.58,1
0295a1f1-1d51-4384-ae45-e84a47ad8a29,2026-01-19T17:47:44.698522Z,Millerland,3246.6,3246.6,1
029f4b04-968f-46d8-b4cf-2e55922a86ef,2026-01-19T17:41:39.899901Z,Port Brendaburgh,3259.49,3259.49,1
02a9e024-c77c-434d-bbbc-fc7dd97322c1,2026-01-19T17:42:00.007440Z,North Lisaview,1539.47,1539.47,1
02aa2a20-029f-4430-82af-6095899908b8,2026-01-19T17:44:36.670440Z,Port Robertside,1888.32,1888.32,1
02ab79aa-0dc0-46d5-8592-a10f89c9b548,2026-01-19T17:46:35.415788Z,Lake Teresabury,2793.59,2793.59,1
02af977a-f488-4cb3-aa5b-37c0e0545af7,2026-01-19T17:45:58.915078Z,Jacksonchester,937.08,937.08,1
02aff19e-2241-4dcd-9ff1-2dce08c2aa37,2026-01-19T17:42:14.550346Z,Thomasstad,3034.89,3034.89,1
02b004f5-7743-4b69-8a07-7bf6ac5303e7,2026-01-19T17:42:02.087021Z,Edwardsfort,449.89,449.89,1
02b3956b-6e43-4b34-9445-66464a41539a,2026-01-19T17:46:39.439948Z,Reyesbury,1722.98,1722.98,1
02b3a2d5-62bb-4e8a-b715-92ecca8fe5a4,2026-01-19T17:44:38.394638Z,East Patricia,3965.35,3965.35,1
02b52118-4e30-4250-ad56-5a16664efab0,2026-01-19T17:48:09.993072Z,Caitlinshire,1205.45,1205.45,1
02b9fc7a-b885-4596-bd71-c9cbbdd5dfb1,2026-01-19T17:41:05.529760Z,Annshire,3781.88,3781.88,1
02bb41a4-369c-49a9-980c-afa3e7e47014,2026-01-19T17:42:15.598345Z,Chapmanmouth,6116.79,6116.79,1
02c09337-3b7a-4349-bb76-6ddcbdc4aaac,2026-01-19T17:48:15.982523Z,Jonesmouth,4484.08,4484.08,1
02c4c749-ee1e-4c20-9eb7-ec9de0e31a8a,2026-01-19T17:45:17.187743Z,Mooreland,220.62,220.62,1
02c9bb05-22c1-45c4-9529-5071ef7b9eb1,2026-01-19T17:46:37.754790Z,New Theresafort,-1304.76,-1304.76,1
02cf8fbf-bb96-4985-949b-446b60561104,2026-01-19T17:47:29.294050Z,South Sandra,568.43,568.43,1
02d2adfd-c0ce-41ff-a3de-930063830b98,2026-01-19T17:45:25.810949Z,Milesmouth,1998.14,1998.14,1
02e1e184-f83f-403d-8086-1778eabf777f,2026-01-19T17:46:57.888956Z,East Emilychester,4893.87,4893.87,1
02ef7b6e-b904-4da2-81f8-d123464358cd,2026-01-19T17:44:32.233589Z,Powellshire,2446.86,2446.86,1
02f037be-e5a4-4a00-b890-ec804af551f3,2026-01-19T17:42:47.210804Z,East Candice,3253.25,3253.25,1
03010528-f186-461b-a578-ea6b846c6965,2026-01-19T17:43:45.679276Z,Lake Cheryl,1572.32,1572.32,1
03041f46-4f2e-495e-b0fb-1eb03f6cf8f0,2026-01-19T17:40:12.583334Z,South Michael,-2633.3,-2633.3,1
03043d19-ae7f-4da6-945c-86610f50dc85,2026-01-19T17:46:01.701862Z,New Michael,-3764.12,-3764.12,1
0304687d-1e60-476c-b7d7-cbeff96eedb1,2026-01-19T17:47:28.595267Z,Bennettfort,3199.64,3199.64,1
03094339-83d2-4f8b-91f7-cc9db5b9b556,2026-01-19T17:43:29.380301Z,East Jenniferside,3574.76,3574.76,1
0309b732-95d0-4ba0-bd51-615a531ff0eb,2026-01-19T17:43:54.972048Z,Eileentown,835.64,835.64,1
030b3af5-30e5-45cc-b94d-42c2f55cea2c,2026-01-19T17:39:45.371316Z,West Jennifer,4047.35,4047.35,1
030d7139-e347-4c92-b66b-c33f0c0efcda,2026-01-19T17:44:37.835218Z,Washingtonburgh,3492.59,3492.59,1
030eee3f-b563-4466-93c0-124d48f8ad3d,2026-01-19T17:48:11.615545Z,Cliffordton,2963.95,2963.95,1
0313d944-f75a-4565-9f92-458a931d6ef2,2026-01-19T17:47:20.342679Z,West Bradley,1409.21,1409.21,1
0313fe68-d233-4be8-a198-b9a133e7533e,2026-01-19T17:41:20.823068Z,Lake Courtneyside,5146.19,5146.19,1
0314b225-089f-472d-bd2e-6d4e5f5b128d,2026-01-19T17:47:04.743738Z,South Lindsayfurt,1689.84,1689.84,1
03168a60-c36a-419b-93fb-6e89800172e4,2026-01-19T17:46:02.139899Z,Barrettbury,1484.88,1484.88,1
031753bf-b164-4a56-a500-cebbd09fea4d,2026-01-19T17:39:09.177877Z,West Patrick,842.59,842.59,1
03212ba2-70a4-47a4-8d34-4b4cfcab9960,2026-01-19T17:40:14.416341Z,Joseview,1127.22,1127.22,1
03273bd8-afdf-47d7-bc1f-e66d40bee678,2026-01-19T17:42:51.296159Z,Adamsborough,1508.89,1508.89,1
0328ba4b-e3cc-46b9-8584-6ff1e8eb3953,2026-01-19T17:45:53.244172Z,South Danielside,1198.82,1198.82,1
03299c42-ee03-4c0c-8521-b96e29f35e13,2026-01-19T17:47:15.227846Z,Port Williammouth,-2614.52,-2614.52,1
033270c4-fa2e-4936-bc37-8d3430522bd7,2026-01-19T17:39:02.162359Z,South Jonathanmouth,2180.21,2180.21,1
034701b7-b14a-45ac-b02c-a13347d355a3,2026-01-19T17:47:37.119475Z,Port Deborahfurt,3079.54,3079.54,1
034e5d20-680a-45e9-8309-b5cf1b4fb79d,2026-01-19T17:45:28.714546Z,New Cindyfort,-1819.85,-1819.85,1
0351ce0c-8835-4ee7-9c2d-408d4c17a209,2026-01-19T17:45:45.708548Z,Mcdanielhaven,-169.38,-169.38,1
035243fe-8cae-4fef-b8af-142c300d2556,2026-01-19T17:46:24.723371Z,Richardburgh,236.79,236.79,1
035c319c-2459-49d3-9a2a-075bdf9544d1,2026-01-19T17:44:50.185930Z,West Brendaport,2333.91,2333.91,1
0360fee4-45d0-425b-8c59-3c0aef8e3bcd,2026-01-19T17:41:49.553321Z,Brookston,2262.64,2262.64,1
0364b0b5-a74d-46c7-8c33-87dcdc2621d9,2026-01-19T17:45:35.764125Z,Cobbburgh,479.84,479.84,1
0364cf10-7145-4c71-9af6-3527caefe82e,2026-01-19T17:46:10.830149Z,Lake Shelby,2040.47,2040.47,1
03661bea-11ad-4b6a-83e1-369afbbf1f6b,2026-01-19T17:39:55.094592Z,Port Erika,692.25,692.25,1
036bf89b-687f-4c54-a45e-61204f6d5c2a,2026-01-19T17:46:17.654170Z,Jenniferview,507.91,507.91,1
037130a7-510c-47cd-b48c-17fadff04261,2026-01-19T17:47:05.900543Z,Bartonhaven,685.4,685.4,1
03750672-2015-455b-807d-c8c4191fc6c4,2026-01-19T17:42:52.157713Z,Snyderville,2657.89,2657.89,1
03762f59-c09e-4c2c-a1b8-24dfd3f9b58e,2026-01-19T17:47:01.191713Z,Pittsside,499.31,499.31,1
037ca37b-3fe9-43b8-8f29-3c5f44eadb13,2026-01-19T17:46:56.084873Z,West Susan,4946.24,4946.24,1
037cf445-fd85-4c4a-84f9-2ac806bc2084,2026-01-19T17:40:14.708852Z,Brownview,2561.93,2561.93,1
03991d6f-2099-4414-8aa6-261e7662fe2a,2026-01-19T17:45:56.983572Z,Joseside,426.0,426.0,1
039c3b37-394b-4426-98d5-2c5c099ad2c5,2026-01-19T17:47:45.770177Z,North Steven,-901.3,-901.3,1
03a2447d-102b-4c48-84df-7700184fdce4,2026-01-19T17:45:30.325915Z,New Troy,1437.34,1437.34,1
03b023e6-a4a4-4d76-8e61-b24355fcd911,2026-01-19T17:47:16.393789Z,West Jamiemouth,598.25,598.25,1
03bdf265-040d-4e7d-95ec-e87eef554680,2026-01-19T17:45:48.697148Z,East Molly,1904.7,1904.7,1
03c6a5d6-df1e-46d7-9193-5fde63597c64,2026-01-19T17:40:34.435294Z,Michellemouth,2243.63,2243.63,1
03c9c2e7-40bf-43bf-b5ae-4fd13b748ed0,2026-01-19T17:42:12.002516Z,Michellemouth,3681.65,3681.65,1
03d6c26e-ac14-4841-b2ca-d3c1f9353852,2026-01-19T17:45:29.029910Z,New Christopher,962.15,962.15,1
03d9a814-4fca-4dff-ab19-ac7dbc3d6c40,2026-01-19T17:46:54.017407Z,South Feliciatown,6870.28,6870.28,1
03dfa491-9cbd-40dd-b603-5abe21e8ecd5,2026-01-19T17:39:30.505433Z,Port Angelafurt,455.9,455.9,1
03e1d77f-b443-4533-bbfb-8522c3808214,2026-01-19T17:41:32.185927Z,South Kelly,2709.12,2709.12,1
03e3df7f-8a78-444f-83ec-e6c2d46cb4ad,2026-01-19T17:42:51.280878Z,New Jessica,1759.33,1759.33,1
0404dc3b-32df-42ba-a28b-2c81c1f15e23,2026-01-19T17:45:38.780555Z,Port Wendy,5815.82,5815.82,1
040d71a3-885f-4327-8d6e-07a9c2d6bdf5,2026-01-19T17:45:40.191417Z,South Nicolas,315.55,315.55,1
041375c3-c3c7-4e31-af29-8ddd46d55cc0,2026-01-19T17:45:35.058830Z,Mooneyton,333.96,333.96,1
04174aa1-ec5d-4bc8-8705-9e69da5ecc27,2026-01-19T17:39:27.339678Z,Angelicaburgh,2075.27,2075.27,1
0420fe79-8cc2-4990-86b1-f060e3bdde83,2026-01-19T17:39:04.764303Z,Grayberg,1831.07,1831.07,1
042f35e1-b756-4f2c-a28b-050e8b966ec6,2026-01-19T17:43:00.752963Z,Erikshire,612.14,612.14,1
042fa0d3-d392-4044-8410-9a97c44022f9,2026-01-19T17:42:26.210589Z,South Robert,2782.02,2782.02,1
043091b2-93eb-44a9-8873-d03674728457,2026-01-19T17:45:03.776423Z,Phillipfurt,2384.13,2384.13,1
0431af12-14be-4f1f-85f6-3eaac4bf2932,2026-01-19T17:46:40.638777Z,Lake Jillianshire,5400.91,5400.91,1
0431d5be-04d1-46e1-aa0b-f4b0a5b909d2,2026-01-19T17:40:03.708867Z,New Brittany,1014.56,1014.56,1
043caf78-672b-4237-b4e6-c700f4034b8e,2026-01-19T17:43:28.549067Z,Riceberg,2008.33,2008.33,1
043db7d9-d459-44f0-a2e7-ac4fb666c4c2,2026-01-19T17:44:47.699431Z,Edwardborough,3198.22,3198.22,1
0446a9b7-a777-4131-a01c-fc51c62711b2,2026-01-19T17:48:14.855402Z,Lake Christopherburgh,3314.15,3314.15,1
044a957e-2b86-408d-88ec-ab87607726b4,2026-01-19T17:45:10.135562Z,South Michaelhaven,1177.69,1177.69,1
04509c2a-4d9c-4a97-8c08-15aa690b6e0f,2026-01-19T17:44:47.898424Z,Anthonyfort,-3099.55,-3099.55,1
04533bb6-ca78-42a7-841b-7730fc92a228,2026-01-19T17:47:36.917963Z,Stevenland,3251.31,3251.31,1
045404b8-7dd1-42fc-9031-59be9f426ea4,2026-01-19T17:47:28.808781Z,New Craig,2018.14,2018.14,1
0457e9c7-ef0b-4eec-84ab-240ee0f679ee,2026-01-19T17:47:21.738472Z,Dianashire,3640.26,3640.26,1
045a292a-e0dc-48b0-ae7d-3262d58ebe0a,2026-01-19T17:46:28.076632Z,Daymouth,391.4,391.4,1
