browser,city,country,device,element_id,event_id,event_type,ip_address,page,product_id,quantity,search_query,session_id,timestamp,user_id
Safari,Kimside,LK,tablet,,082f1a27-4b2a-4990-b810-001e59150ca8,search,17.72.224.205,product_detail,,,hold,34b20b7f-901,2026-01-19T17:38:54.311561Z,40cc850a
Safari,West Karenmouth,CL,desktop,btn_so_16,1be4b9ef-f8c0-439d-8b2f-94db0e194be2,click,120.39.218.115,products,,,,9fffdfac-8dd,2026-01-19T17:38:54.366060Z,b309a95b
Firefox,Port Charlestown,TO,mobile,,769d0ea7-bb69-4d25-93ca-7df84b7fdcc3,remove_from_cart,63.162.246.153,checkout,PROD_2377,3,,389085de-218,2026-01-19T17:38:54.372391Z,4b141026
Firefox,Julieshire,TJ,tablet,,fbe8d1ae-2a2d-4ff7-aff5-c399c1b386eb,search,174.214.39.149,product_detail,,,interview,415ae50c-90b,2026-01-19T17:38:54.383751Z,400f8d8c
Edge,East Kendra,VA,tablet,,fde9af73-b465-4cd2-be55-30d54d3a09da,remove_from_cart,55.73.155.1,help,PROD_1893,1,,1d431281-4a7,2026-01-19T17:38:54.419236Z,60655d0a
Chrome,Jeffreyport,YE,mobile,,884e3600-220d-4388-9a0b-46e1d873c1e3,add_to_cart,153.93.218.53,checkout,PROD_2474,4,,acf23790-ca1,2026-01-19T17:38:54.449770Z,6bc9f9ec
Edge,Alexandraberg,CV,desktop,,fdcea859-3709-407b-a60b-7061bee3d328,add_to_cart,75.252.112.181,profile,PROD_1974,1,,2a896cf4-372,2026-01-19T17:38:54.455235Z,f843c001
Safari,Daviston,UG,tablet,,58a11453-c1e8-426b-85b9-1e2575429c3a,login,90.38.53.248,products,,,,57bd81b4-7fa,2026-01-19T17:38:54.458406Z,06aaeaf3
Chrome,North Alexis,KI,tablet,btn_name_68,93919f9c-ec5e-4024-a7cf-c1d5d78264ec,click,179.253.155.111,profile,,,,1671749e-ba7,2026-01-19T17:38:54.474886Z,e41d2750
Safari,Gordonland,DO,desktop,,c20ffd2c-08b8-49bb-9178-e36b2c8fb3b8,login,213.124.195.220,cart,,,,7c3b4264-70e,2026-01-19T17:38:54.481556Z,5636bab4
Edge,Simmonsmouth,YE,mobile,,0cc6d119-db55-4f0a-8dd6-37e1cfff668e,add_to_cart,166.154.87.126,product_detail,PROD_2037,3,,c5157414-84f,2026-01-19T17:38:54.485298Z,aa10b399
Safari,West Antonio,BB,desktop,,b54ca0a8-5f5c-4e31-b4ce-fb5a0856c8d6,page_view,156.183.50.223,settings,,,,ec1c014b-716,2026-01-19T17:38:54.491974Z,56e6a025
